ID,classe,numero,descricao,incidente id,data atualizacao,descricao atualizacao,emails,url
66,ADO,56,Rede quer providências sobre renda mínima,5883259,16/04/2020,Incluído no calendário de julgamento pelo Presidente,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883259
67,ADPF,668,Metalúrgicos contra campanha coronavírus,5884082,16/04/2020,Juntada,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5884082
68,ADPF,669,Rede contra propaganda coronavírus,5884084,13/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5884084
69,ACO,3375,ES quer suspensão de dívidas,5884108,15/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5884108
70,ADI,6359,PP quer prorrogar prazos eleitorais,5884990,07/04/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5884990
71,ADPF,671,PSOL quer que SUS controle todos os leitos de UTI,5884983,13/04/2020,Interposto agravo regimental,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5884983
72,Pet,8755,NCrime passeio Bolsonaro DF,5885100,13/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5885100
73,Pet,8756,Omissão Aras contra Bolsonaro corona,5885184,15/04/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5885184
74,ADPF,672,OAB obriga Bolso a seguir OMS,5885755,15/04/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5885755
75,ADO,57,Seguranças querem máscaras e alcool corona,5885787,14/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5885787
76,Pet,8759,Notícia crime oposição Bolsonaro corona,5885781,15/04/2020,Determinado arquivamento,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5885781
77,Pet,8746,Adv pede prisão de Bolsonaro,5882132,15/04/2020,Determinado arquivamento,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882132
78,ADI,6361,Unacon contra reforma da previdência,5886033,13/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5886033
79,ACO,3377,Rondônia suspensão dívida,5886115,16/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5886115
80,ADI,6363,Rede contra MP 936,5886604,16/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5886604
